battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1626,1,0.9,0,6,1,56,0.5,99,6,15,1479,919,620,15,1,4,1,0,0,2
1959,0,0.9,1,16,1,52,0.1,145,3,7,988,663,2229,6,11,8,0,0,1,2
1360,1,2.1,0,6,0,18,0.6,154,6,6,201,1278,1050,11,13,15,0,0,0,1
1794,1,2.4,1,3,0,37,0.7,141,4,18,673,1137,1614,6,6,16,0,1,1,1
1630,1,1.8,0,7,0,4,0.6,173,2,16,1879,1706,2955,10,12,10,1,1,1,3
1595,1,2.6,1,12,0,2,0.8,175,7,12,301,1833,2030,17,3,12,1,1,1,1
1544,0,3.0,1,3,1,51,0.6,111,3,14,1647,516,845,14,0,8,1,1,1,2
621,1,2.6,1,5,1,28,0.2,137,6,1,336,945,454,16,16,13,1,0,1,0
966,1,2.2,0,4,0,54,0.2,129,3,9,31,669,2320,13,2,19,1,0,1,1
1738,1,1.8,0,11,0,48,0.6,117,2,12,1121,1803,473,15,16,14,0,0,0,1
830,0,1.6,0,3,1,41,0.3,134,7,17,1782,839,996,9,7,12,0,0,1,1
1982,1,0.7,0,8,1,34,0.2,107,1,10,772,1225,905,14,2,2,1,1,0,1
587,0,1.5,1,3,1,21,0.5,153,6,12,1214,1534,2450,11,9,7,1,1,0,1
1896,0,2.8,0,18,1,15,0.6,165,1,18,1564,632,3537,17,1,3,0,0,0,3
1623,1,2.5,1,13,1,37,0.4,198,4,4,1071,1400,925,5,3,14,1,1,1,1
1371,1,1.0,1,4,0,6,0.7,160,7,2,1273,1139,1693,12,13,14,0,0,1,2
630,0,1.7,0,17,0,24,0.7,101,5,18,1249,1671,920,13,10,10,1,0,0,1
1832,1,2.5,0,9,1,46,0.4,122,3,12,1295,1322,1111,17,13,2,0,1,1,2
1269,0,0.7,0,18,1,61,0.8,162,6,4,664,1453,2633,9,12,9,1,1,0,1
843,0,1.5,1,11,0,57,0.7,160,3,11,1508,578,1150,10,3,15,0,1,1,1
1937,1,2.6,0,17,1,16,0.7,167,4,13,327,845,2149,17,1,17,0,1,1,2
1305,1,1.5,1,16,0,7,0.6,115,4,5,796,1108,3679,15,1,5,1,1,1,2
885,0,0.7,0,10,0,34,0.1,175,3,8,1203,1772,1442,12,10,19,1,1,0,1
1715,0,1.9,1,2,0,56,0.7,199,6,16,813,1138,2098,8,4,15,1,1,0,2
1455,0,2.7,0,16,0,20,0.4,189,7,7,664,1547,2404,6,8,10,1,1,0,2
776,0,2.0,0,0,1,14,0.9,131,2,12,745,1994,582,14,16,16,1,0,1,0
1684,1,1.1,1,14,1,30,0.8,115,7,4,1046,1724,2630,12,11,4,0,0,1,2
959,1,1.5,0,8,0,62,0.6,107,2,16,929,630,3482,6,17,5,1,1,0,2
1837,1,1.6,0,14,1,7,0.3,157,5,2,962,855,2313,9,2,19,1,1,0,2
521,1,1.9,0,2,1,16,0.3,137,7,5,1629,1443,2656,17,4,15,1,0,0,2
752,1,2.4,0,18,1,17,0.4,115,3,13,1393,649,438,10,13,16,1,0,1,1
1247,0,0.7,0,12,1,25,0.5,149,3,14,1268,1827,710,9,15,9,0,0,0,1
1356,1,2.7,0,11,0,24,0.4,88,6,13,1825,549,1925,10,8,11,1,0,1,2
974,1,0.5,0,19,1,49,0.6,100,3,10,1183,963,261,10,16,13,1,1,1,1
1582,1,1.4,1,0,0,11,0.2,143,6,10,372,1763,3660,7,6,10,1,0,0,2
1010,1,0.6,1,16,0,55,1.0,155,3,8,284,954,1612,15,9,9,1,0,1,1
1999,1,1.5,0,12,1,42,0.2,140,4,5,520,1806,3585,15,3,18,0,0,1,2
1199,0,1.8,0,0,0,42,0.9,173,1,14,1473,834,466,7,9,10,0,0,1,1
1475,0,1.8,0,9,1,50,0.9,174,3,11,696,1875,306,13,2,14,0,1,1,1
689,0,0.9,1,14,1,18,0.6,119,1,5,806,1167,1724,7,8,15,0,0,0,1
1457,1,2.1,1,6,0,50,0.8,135,2,0,646,826,3986,7,12,6,0,1,1,2
1186,0,0.6,0,17,1,57,0.5,83,5,15,1645,1515,1265,15,0,10,1,1,0,2
1457,0,2.4,1,15,0,45,0.7,110,7,19,1604,835,632,18,14,17,0,1,1,2
1062,1,2.9,0,13,0,46,0.4,106,7,14,135,1165,2943,6,14,8,0,1,0,1
1767,1,1.3,0,17,1,31,0.4,137,2,1,95,1494,3813,11,10,13,1,1,1,2
1331,1,1.8,0,6,1,45,0.6,104,3,16,1142,580,3073,14,9,3,0,0,0,2
1654,0,1.4,0,16,1,47,0.5,148,7,2,1397,586,1330,14,6,19,0,1,1,2
